Subj #,,Win 1_2,Win 3_4,Win 5_6,Win 7_8,Win 9_10,,Spr 1_2,Spr 3_4,Spr 5_6,Spr 7-8,Spr 9-10,,CPD_Q1,CPD_Q2,CPD_Q3
28,,I went to LA Fitness and exercised today.,I wrote in my phone journal for 20 minutes.,Went to LA fitness and did some weight lifting. ,"Once again, went to LA fitness to help take my mind off of school work! ",Went to LA fitness to relieve some stress ,,Went on a light walk around my neighborhood and looked at the cherry blossoms!,Took a nice relaxing drive to the beach and walked around. ,Went to my local gym after our class meeting.,Went to my local LA Fitness!,Went to my local gym in the nice sun! ,,I think that by having separate time that focuses on letting us take mental breaks have been very helpful. In a way it makes us take more time to consider about ourselves versus just going to class after class.  Having providers that care and ask about your day and overall how you are doing with class has made me feel more appreciated and welcomed. ,"For myself, choosing to exercise is something that I have known to help my mental well-being and my physical well-being. I have also been able to socialize with others at the gym which helps as well. This task has been the most natural for me and I plan to keep it up. ",My time spent on self-care feels very worthwhile. I feel like I am destressing while also being able to feel healthier and both of these overall make school less straining. 
29,,I went out to lunch with a friend who I haven't seen in about two years,I took a nap ,I grabbed coffee and had a chat with my mentor ,I went outside and enjoyed the sun ,I went out to lunch with my mentee ,,I went out to grab boba and went grocery shopping ,I took a nap after eating ,I took a nap ,I got lunch with my big [sibling from fraternity],I went to the gym ,,I think it allowed me to communicate with others and further developing my communication skills,Decision usually depends on whether I had made plans before and if my friends are free. If there are free I would most likely hang out with them during my self-care,"The time spent on my choice of self-care allowed me to regroup, gain more energy to focus on the other tasks I have on hand afterward. "
30,,I worked out at the gym for a couple hours to take care of myself. ,I spent an hour speaking to my therapist.,I reached out to my dad and chatted for a while,I went for a walk,I took a walk with my friend on a trail ,,I spoke with my brother over the phone and we caught up with each other. ,I spent some time at the gym to decompress from the week. ,I will be facetiming a friend. ,I will be working out at the gym and catching up on studying for the upcoming miderm.,I went to the gym today. ,,Having built in time dedicated to self care/things I need to take care of every other Wednesday was nice for me to take time for myself an away from schoolwork for a little while. ,"I usually chose how to participate in self-care depending on my schedule and what I needed in that moment. If I was feeling very tired from exams, I would be more likely to choose to rest, or if I hadn’t talked to a particular family member/friend in a while I would call them. ",It allowed me to regroup and be more prepared for the rest of the week and allowed me time to work on my personal relationships. 
31,,"Happy New Year 2022!  My goal in this year is trying to be in present as much as I can.  Taking good care of yourself is also a way to love yourself. 
I understand it is a real challenge to balance my academic life, professional life, and personal life at once and make time to do things I enjoy in my busy schedule.  
Today, the activity that I would like to choose is nurture connection; specifically, self-connectedness.  Journal: I love to spend some few minutes at the end of the day to write down all my thoughts and reflect my own self. Journal helps me to clear myself and understand myself more. So, I know what I need to improve, and questioning myself some questions like what are my weaknesses/strengths? what are my goals/purposes? why should I feel proud of myself?Write a letter to my future self: who I want to become, what I want to accomplish. What are the challenges that I want to overcome in the next week/month/year? What lessons that I want to give advice for my younger self and future self?
 ","Organizing the order of priority is a skill that I need to improve. It is important for me to organize my own life at the moment. 

Today, the activity that I would like to choose is nurture connection; specifically, self-connectedness. 
Firstly, I want to have a vision board which contains all my dreams and goals that I want to achieve in the next 4 years (2025- the year I will graduate from pharmacy school).  
Secondly, I will write a future letter for myself in 2025. In the letter, When I write this letter, I pretend that I already achieved all things I wish when I was young. For example, I will say that I am so proud of myself because I already finished the pharmacy school, now I’m officially become a real pharmacist which is a significant milestone in my career and my life. 
Thirdly, reflect on my journey. I will make a comparison between the reality (2025) and my vision board to see how much different. Writing down all the reason why I do not achieve the goal, what I do to successfully accomplish my dreams. Hopefully, I can achieve 90% of all things I sketch in my vision board. ","I like to spend few minutes calming myself down after taking therapeutic quiz. I was walking on the way home, and it was such a good opportunity for me to reflect myself. It was such a therapeutic to clear my mind and force me to enjoy the weather, the wind, the street, the random people walking. Suddenly, I feel so blessed. I feel blessed that I’m still breathing normally. I feel myself privileged to have a healthy body that I can use for school and work. And I had so many questions came up. How do I see the world when I’m no longer connected? How does the world see me? Then comes the biggest lesson: how the world sees me is how I see myself. And here I am… flawed, out of focus, waiting to be colored all over. As long as there’s light, I want to reflect.","The activity that I choose this time is cooking a new meal that I have not tried yet. Trying a new recipe is such an interesting activity for me because cooking is the way that force to pay more attention, help my creativity flow, and be more in the moment. I got personal satisfaction after trying a new recipe. I feel healed and rewarded after enjoying my meal. Cooking a new dinner dish this time enabled me to create something I have not taken the opportunity to do; and figured out myself that I could manage things in my control like how much seasoning should I add in, check the temperature, the time to cook. Now, I have a new dish that add to my recipe list.","The activity I choose to day is gratitude. I write a reminder for myself: Don’t let anyone control me. I don’t depend on anyone. Gratitude: 5 things that I feel grateful: - I have a good health. I’m healthy. So, I can work and study and do whatever I want in my life. Good health means I have the positive energy to study, work, and serve community. -I have a happy and stable family who always support me, and home is a safe place for me to be back after a long and tiring day. -I have some close friends I can trust and share lots of things in my life. -I am in the progress to be a future pharmacist which means I can use my ability and knowledge to help lots of people in the future, I want to be a useful person. - I have clean food and water to use daily which is already a huge blessing.",,"I’m questioning myself How am I feeling? What does the feeling come from? I am feeling low today. Maybe it’s depression, maybe I am just feeling sad and lonely. Either way, I am not feeling like my best self. Sometimes, I feel like being human is so hard; especially, being emotional unstable is such a challenge for me to handle. I know these negative feelings are just temporary, and I am aware that these negative energies will go away soon. But I really need time to process these emotions. I recognize the feeling of sadness and loneliness, so I need to face with these roller-coaster feelings. Thus, I am able to learn how to accept them, and it turns out easier for me to move on.  To be frank, it seems like it’s quite difficult for me to express my emotions. Nobody truly understands what I’m feeling or I’m thinking. Therefore, I think I need a little pause from life. I keep reminding myself that true healing occurs when I give myself permission to feel whatever feelings live below the triggers. I should choose to focus on what brings me happiness. I invite something nicer to come up and calm the negative energies. I read some inspiring words. I listen to a piece of beautiful music. I go somewhere in nature or I do some walking meditation. These activities help me to boost up my energy and bring me joy. I believe that I gradually feel better soon. ","I want to spend this moment to make a list of things that reflect what lessons I have learned so far. -I read my old journal and realized that the old version of me in the past were so patient, hardworking, innocent, joyful, and responsible. I found my old self and all the memories suddenly awaked after reading my old diaries and journals. I miss the old me a lot.-I started writing journal more often. This helps me to keep the presence moment in the paper and put my thoughts into words help me to express my ideas and reflect myself as well as discover the things clearer and broader.-I write a letter for my future self. I have a vision board to list the goals I want to achieve, to understand deeper my purposes, and to know who I want to become, to reach my dreams and to improve myself.","Assessing Occupational Wellness: I opened my LinkedIn account and started searching some jobs opening as well as connecting with lots of professional people on LinkedIn; then, I recognized that there are so many talented, productive, amazing and hardworking people on this social platform. I review their profiles and really admire their works. They have achieved so many goals in their professional career. I also question myself how can they are so productive and passionate about things they do? What motivation to keep them going and working that hard? How can I connect with these people? so I can learn from them. Exploring a variety of profiles from different backgrounds and occupations truly inspires me to work harder, study harder, and I want to contribute my work, knowledge, and skills to the world. ","I just want to be me. Be yourself: behave in a natural way, rather than trying to pretend to be different. Personality contains a variety of aspects. Personal values or authentic self. People respect those who are authentic to who they are. I spend most of my time alone a lot. Knowing who you are simply puts you in a position to make choices that complement your preferences.You are a beautifully unique, complex individual with many different aspects to your personality. Ask yourself: which is the coolest and kindest version of myself to be right now?Start a journey of finding myself.I lost myself for too long. I do not take good care of myself, I changed myself in negative way; that was too bad. I miss the old Linh. The old Linh that used to work so hard, full of ambition with goals and plans, dedicate all my time to study. The old [student name] that used to be really happy and innocent. Starting this year, I will spend time to understand myself, take good care of myself, love myself more than anything else, myself is always the top priority.How to find myself? love myself by listening to my heart, know what is right for me, spend time and make effort to take good care of my skin, my health, my body, my brain, my hair, my emotion, my knowledge, my own vibe, my fashion style; create my own personality and character that I wish to become. Goal is to become a better version of myself, getting better and better every day, improve myself by following good habits.Understand myself, know my personality, respect my worth.","Spring is here. Today, I would like to spend a little time in the park to feel the warmth of the sun on my skin, the wind on my hair, and the nature sound around me. Lots of things are going on recently. It is such a relaxing time for me to destress this stressful and chaotic time. 
Walking outside today gives me the feeling of peaceful mind and inner calm. I truly appreciate and enjoy this moment. 
I would like to spend few minutes in silence, not to do anything, just feel the present, feel the nature, feel my true self. It is such a healing time for me. 
After that, I feel so much better and refresh, inspire me to be more creative and work harder, and feel more grateful about my life. ",,"This class time is such a mental rest for me. It is critical to avoid me burnout. Taking time to rest mentally is as giving myself a break from utilizing any of the muscles in my brain, and it is important to my overall health and well-being. ","The current situation that I have gone through inspires me to choose the module that I would like to reflect. It depends on how my day is going, how I feel, how I think about my life, my relationships, my career in order to pick the module that I feel relatable most. ","It is such a therapeutic way for me to calm my mind down a bit in a chaotic and busy life. Spending this time brings more positive mindset to me. I’m deeply grateful for this activity because I have a time to understand myself more. Sometimes putting my thoughts into words helps me to clear my mind out and clarity comes back. After writing down everything in my mind, I feel like my thoughts lose the ability to take control my mind and stop bothering me. Looking at the words I write is like looking inside myself sometimes. Keeping those words and reading them will help remind me of who I am. "
32,,I spent one-hour dancing ,I watched a movie with my family.,I went to my friends house for dinner and spent 2 hours of enjoying their company.,I went out with my fiancé to dinner.,I went shopping for clothes.,,I took a long walk with my husband.,I went to a friend’s house with my family to have dinner. ,I celebrated Eid with my friends and family. ,I went to an engagement party.,I went furniture shopping with my husband. ,,"I think the mentor team discussions contributed a lot it allowed me to hear directly from my classmates that they have their struggles too with school, and with balancing personal life, work, and school at the same time. I really appreciate the effort that our professors put into content related to compassionate communication and didactic sessions as well.",During the week I don’t get to hang out with my family and friends that much so I see the weekend as an opportunity to catch up with them. I am a social person so I always prefer connecting with others over relaxing our any other activity.,I really gave me the opportunity to think about what I want to do and what can make happy and refresh before starting a new week. 
33,,I did embroidery for about 30 min while watching a tv show. ,I met with friends on Tuesday night. We talked and had fun. It made me ease the stress from the upcoming exam,I have met my best friend's mom for the first time. We had dinner at home. My mom made Turkish tea and some yummy desserts. ,We had two surprise parties on Saturday- one for my uncle and one for my friend. I spent around 5 hours in total. It made me feel so happy and reminded me how much I miss my family overseas. ,I did some shopping and hung out with family friends over the weekend. ,,I went to Istanbul. I walked so much but saw incredible landmarks that look surreal. ,I have finished a book I started in the summer. ,I went to a concert o Sunday night. Saw a very favorite group with my closest friends. Much needed!!!,we had a girls' mother's day dinner with my mom and friends. ,We had a family picnic ! ,,"I can find time for myself. However, I feel very stressed and sleep deprived. School work is moving so fast that I cannot catch up sometimes. ","I never decide ahead of a time, it just happens. I barely schedule a meeting with my friends. It is all spontaneous, which feel even better.", it felt very relaxing not be on my computer for “20 minutes”. I also feel like I understand the material better after giving myself a break. 
34,,I took a walk with my husband and our dog in our neighborhood after class yesterday,I had a dinner with my friends to celebrate the upcoming Lunar New Year,I spent last weekend watching Jurassic Park with my family,I spent an hour biking around my neighborhood last weekend,I went to a Cirque de Soleil show last weekend with my friends.,,I went to the Flower World and the Molback’s Nursery last weekend with my family to get indoors plants for the upcoming spring. ,I celebrated Easter with my family last Sunday,I visited the Seattle Asian Art Museum in the Volunteer Park this weekend ,I hung out and had dinner with my friends last Saturday.,I went fishing with my family last Saturday,,"I think mentor team discussions are great ways to actively listen to my peers as well as sharing our thoughts about different topics that we may don’t usually share with our family. I have learned a lot from my peers how they handle busy work-school schedule, or different study strategies to get through difficult courses this quarter.  ","I think living by myself in Seattle makes me choose to connect with my family on the weekend over creating a project for my self-care moments. I also feel like I am a family person, so I would prefer to spend my weekends with my loved ones so that we can relax or explore the nature together. ","I feel more energized and be ready for the upcoming week when I have a chance to participate in self-care. However, sometimes, keeping up with the busy schedule while maintaining personal relationships make me feel like I don’t have enough time for my hobbies."
35,,"I recently got a food delivery subscription from EveryPlate to encourage myself to learn to cook and use it as an outlet to fully disconnect from school and other stressors while I am focused on recreating a recipe. Last night, I cooked mushroom and thyme risotto and it was my first time attempting to make risotto, one of my favorite meals.","I have been taking naps or sleeping in more regularly to allow myself and my body to test. Studying, midterms, and stress surrounding school and COVID have drained me, so it has been relaxing to just nap to reenergize myself.",I went for a drive and listened to relaxing music.,I met a friend I had not seen in a while for coffee and breakfast.,I have been working on knitting a coaster for myself recently.,,I went to lunch and then on a walk with a friend I had not seen in a while.,I have been redecorating my room and bought new plants to brighten my space and add more greenery. ,"Having been sick, I have used this time to rest a lot and try to disregard other stressors (like school) in my life and eat well to heal up quick.","I have been spending more time outside in the evenings in the backyard listening to the birds, walking around, and watching the bunnies eat (we have lots that live/come to our house and they all have babies which is very cute to observe).","I have been trying to journal more to get my thoughts organized on paper and process things easier. I also went on a walk and then out to dinner with one of best friends who is home from school (that I had not seen since Christmas), so it was very nice to catch up!",,"It has been helpful in that the class has created a dedicated time and space for me to forget about everything else and focus on myself without distractions. Often, it is easy to keep pushing back self-care and my own health and wellness during a busy week, but the class time has carved out that time for me and I look at it as something that is ‘set in stone,’ so I have to do it which is great.","I decide on my self-care activity based on the needs of my body and my mental health. If I am feeling tired, I will use that time to nap. If I am anxious or worn out, I will partake in a fun activity like cooking a new meal, and if I am not in a good mental space, I will take the opportunity to go out with family/friends on a walk or just an activity that gets me outside of the house.",My self-care time has allowed me to recharge and feel more refreshed. I have also found new activities and ways of relaxing and taking care of myself through the choice board and my peers.
36,,I made a yummy Thai dish with my wife yesterday evening. We cooked Khao Soi soup with chicken meatballs.,"I took my dog for a walk around the neighborhood out in the sunshine. Lately, with all of this online schooling I have been getting cabin fever, so it was nice to get out for a bit. I also took time to prepare for an exam this Friday which helped me relieve some stress.","I caught up with a couple of friends, who I have not spent time with for a while. We played pool and had drinks. We were able to deepen our friendship and understand each other better. It felt nice to feel connected to people.","As usual, I took my dog on a walk around the neighborhood. I have been quite stressed and anxious as of late. My bathroom was flooded by the upstairs neighbor and mitigation isn’t going as smoothly as I want. I’m stressed about this weeks exams and quiz. My study focus has been terrible and I feel like I am going to not perform well. Fortunately, walking my dog through the snow this morning brought me some relief. I was able to decompress from the stress and anxiety. I appreciate everyone and everything. Sorry instructors for the vent.",I recently started journaling daily. I’ve found it useful to reflect on the activities of the day and feel a stronger appreciation for life.,,I went for a nice stroll with my dog and enjoyed the sunshine. I also went to the HUB and played pool with some of the pool club people. It was a great way to keep my mind off stressors.,"I wanted to surprise my wife so I made her and me steak and frites with lemon pepper roasted asparagus on Sunday. It felt really nice doing something for someone, especially my wife. Although I accidentally overcooked the steak (medium, not medium-rare), I seasoned and tenderized them for over 6 hours each so they still were as soft as butter. I will use my extra time to catch up on assignments and study for exams. Then I will go play pool at the HUB with the pool club peeps.",I had a chat with my childhood best friend about a book we are reading together. I also went down to the HUB and played pool with the pool club.,"Yesterday, I went down to the hub to play pool with some of the guys after skills lab. Although today started with raining sheets, I think I will go take a walk with the dog since it is sunny out! I will also do some mindfulness exercises before bed tonight to decompress from the past couple of weeks.",I did an orange theory workout.,,I have had a tremendous benefit from the mental health and wellness time. I usually take it to engage in a hobby or go for a stroll while listening to an audio book. I feel much less stressed and sense I have better focus throughout the week.,"I mostly relaxed as I feel it was the easiest and calming thing to do, but the times I connected with myself and nature, either through mediation or through walks, I felt immensely refreshed and grateful for what I have.",I felt much relief from school stress.
37,,I spent an hour writing my novel. ,I played piano for 30 minutes.,Had lunch with my mentor for 30 minutes.,I played piano for 30 minutes.,I worked out at the gym for 1 hour.,,I visited the cherry blossom trees.,I watched my favorite movie.,I treated myself to a non-homemade dinner.,Pet and spent time with my doggies!,I went to the IMA.,,It has allowed me to have discussions with my other classmates to get a better understanding of how we all deal with stress in different ways. It has also assured me that I am not the only one who has difficulties outside of class and it is ok to take a step back and focus on my mental health.,"More often than not my self-care resulted in doing something that used my right brain. More often than not in pharmacy school we use our more analytical left brain, so it is a good mental break to try and do something creative; express the other side of me.",It gave me an excuse to doing something I wanted to do without feeling guilty for doing it. 
38,,I went on a short run and then took a 90 minute nap yesterday. ,I went to the IMA and worked on my deadlift 1 rep max :) ,I went on a walk and listened to a podcast!,I visited my parents and had lunch with them!,I took an hour long nap!,,I made a homemade pasta sauce for my lunch today :) ,I went on a walk and facetimed my little brother ,Had lunch with my parents ,I took a nap today!,I met with a friend this week at Gasworks park to catch up and look at the city lights ,,"I found 2 sessions from our mentor team discussions particularly interesting. Last quarter one of my mentor team members did a presentation on habit and habit forming. I do well with habits and can even be a bit rigid when it comes to  routines and I don’t do well with having to be flexible with my habits. One thing my team member mentioned was how habits evolve with you, and that they also should serve you instead of stressing you out beyond what is reasonable. I found this enlightening because I usually think of habits as something foundational and static that I can rely on, when actually your habits should serve a purpose in your life. I guess I learned that it is okay for your habits to change with you. The other one was when we made the paracord keychain last week. While it wasn’t a learning-oriented session, it was really nice to do something with my hands that isn’t work-related. Even though my paracord lanyard turned out not how I expected, I was happy with how it turned out because for just a little bit I was doing something other than studying. When I was younger I used to color in coloring books, and i got the same peaceful feeling when doing the paracord lanyard. After this, I  went and found my adult coloring book i have and worked on a piece that I’ve been coloring for the last year or so. ","Fortunately, I actually build self-care into each of my days, even if it’s calling my family on my drive home from school/work, or getting up a bit earlier to go bouldering before class. I am thankful that I have the time to add self-care into almost all of my daily activities. I didn’t ever have to actively choose an activity from the choice board because I was already doing something self-care oriented, so I simply reported my self-care activity that I was doing for the day. ","I am a grumpy and imbalanced person without my self-care routine, even if I have to modify it. It is something I use to maintain my mental health, and I find that I am less stressed and much more efficient when it comes to studying when I engage in my activities. Even if it’s only a 20 minute walk outside, my self-care routine keeps me sane during school.  During this year, it was nice to have reminders to prioritize self-care and helped keep any guilt I sometimes feel for taking time away from work/school away. "
39,,"I closed my eyes for 10 minutes and exercised for the other 10 minutes, and afterwards I felt rejuvenated physically and mentally.","Today I went out to get some fresh air to clear my head, and walked around. This activity took in total 20 minutes.","Today I tried to draw an anime character for 20 minutes. Even though the end result was not to my liking, but it was something to get my mind off of school at least.","With the given three day weekend, I took some time to relax and rest as much as I could to recover from long week 7. ","I was watching videos of Vietnam, and I was thinking about how my life is very different than those in Vietnam. Therefore, I came up with 5 things I’m grateful for living here compared to living in Vietnam, here I have: freedom to freely think and express my thoughts, access to clean water, roof over my head, food, and education. After reflecting I found that there is no other place I would be than here in America the land of freedom and opportunity.",,"Today I jogged around the neighborhood, try to get as much of the fresh air as I can, and clear my mind from school.",After WIP I came home and spent 20 minutes to rest up before studying for the MEDCHEM exam this Friday.,After coming from WIP I went to my room put on some calm relaxing music and meditated for 20 minutes.,"Today, I just took some time to escape from my worries and stress about the exam tomorrow by sitting at my desk and watch some comedies to laugh my stress and worries away.","Today I had to step away from everything school related by spending some time to build a plastic model, and it’s been awhile since I build something. Totally worth it and definitely reminded me why I started the hobby in the first place…..and now back to work.",,"Overall, it was something different in a good way because to be absolutely honest I have been stressed with all the school work, exams, and felt at times where I lost all motivation to continue school but through mentor team discussions and activities we have done in the mentor meeting I felt that I could escape from school and anything related to school for a day. A moment to be free in other words and that helped a lot.","In honesty, I believe I chose what I chose in each module is based strictly on how I feel that day. For example, if I feel like I need to listen to music and relax then I would do that over creating something because in the moment creating something could pose as a stress to me over laying in bed and close my eyes listening to music. ","For the most part, it helped a bit especially on weeks that we have a lot on our plates. Such as, this week for example where I had capstone, in-service for WIP, assignments due within the week, and exam Friday. Though weeks like this I tend to self-care a lot more than on our “off” easy weeks. In conclusion, I would have to say the choices that I decided is what is keeping me going through pharmacy school."
40,,"For my activity this week, I have chosen to listen to tree.fm for 30 minutes.  Having an opportunity to listen to nature is calming and I enjoyed it.  I completed this activity and spent 30 minutes on 1/12/22.  ","This week I selected another nature option to help me to relax:  Walking through my neighborhood at night admiring the Christmas light holdovers.  They are so gorgeous, especially on a clear, cold night.  I will do this tonight (Wednesday) after I finish my schoolwork.","This week for my Health Wellness Self Care choice, I decided to work on mindfulness.  I have a breathing app on my watch, so I used it to focus on my breathing for 15 minutes.  It was actually wonderful just checking in with myself in this regard.  After 15 minutes, I felt relaxed and refreshed!  I'll have to try that again on a day that I may be feeling anxious about work or school.","This past week I chose to focus on getting out in nature.  We spend so much time indoors studying, in class, or working so I wanted to take advantage of a beautiful winter's day and get out for a bit.  I actually took time to drive to a different neighborhood (Magnolia!) and walk along the bluff.  The water, the boats, the ferry, even the cargo ship were all such a wonderful part of the ""urban slice"" of life in those 30 minutes.  I topped it off with a latte in the Village.  #love","After WIP today, I decided to relax by listening to some ocean music to destress from the business of the hospital environment and all that we had been working on.  It was a wonderful way to think about vacation at the end of the quarter.  So glad to have had a break!",,"Yesterday after WIP was a beautiful afternoon.  I went to the park near the hospital and walked through it, enjoying all of the beautiful trees in bloom for spring!  Decided to grab a coffee as well and sit on one of the park benches, enjoying the sunshine!!  ","Took the opportunity today to listen to bird sounds on my way home from the hospital.  Even though the weather wasn’t optimal, the “birds” made my drive home super enjoyable!",It was nice this week after my WIP training!  I walked through the park near the hospital and grabbed a coffee at the Starbucks.  Lots of people out walking their dogs in the park- only wihs I could've had mine with me too!! [photo],"This week I've decided to bake!  I took some time when I got home and baked some banana bread for my son to take home when he next visits.  It reminded me of all of the times when he was a little guy.  We used to love to bake together.  Chocolate chip was always the fave.  He had a special apron and a ""cookie dough"" bowl that we'd made together at Paint the Town.  He has always loved those memories- even now that he is a grown man- LOL.  Baking always recounts those wonderful years with my kids.  It was just what I needed this week.","I decided to listen to music for a 30 min break between WIP and IWS on Wednesday.  It was a nice day out so I sat outside.  The sunshine brightens everything and lightens my mood, always.
Great to focus on mindfulness, if only for 30 minutes.",,"I have greatly appreciated that we have devoted time as part of our curriculum to focus on health, wellness, and self-care. School, work, and commuting, together, is a tremendous burden and it would be so easy to succumb to the stress of it.  It is helpful as well, that we spend time sharing with our peers during our Group Breakout sessions so that we not only get to know one another better, but also, to share experiences.  Somehow it makes it easier when you realize that you aren’t the only one trying to juggle a bunch of balls at the same time.  If it weren’t for this time being part of what we do in this class, it wouldn’t be the same, and certainly not “as healthy”.  Thank you for being great listeners and wonderful mentors.","For me, I sort of let the decision that week be organic.  Really depended on how I was feeling that day/week.  I loved all the various choices! I generally found myself selecting those that were “calming” and totally different from work or school.  The exercise allowed me to think about things other than my to-do list, and that was wonderful!  It’s also helped me to see the value in doing so; I’d like to make this a permanent part of my weekly routine.","Self-care is generally what goes out the window for me first when I am under time pressure.  As an example:  I don’t have time to work out.  It’s a choice, but a strange one for me because I’ve always been dedicated to doing so.  I feel very stressed each week because as an older student, I must spend countless hours with subjects like Med Chem, so my free time choices rarely happen.  By having a reminder, an opportunity to focus on self-care, it suddenly becomes something viable.  It doesn’t have to be hours- just 15 or 20 minutes, and it makes a huge difference in my clarity, outlook, and happiness.  "
41,,I took a powerful 20 minutes nap.,I listened to music.,I texted my best friend.,I took a nap.,I called my bestfriend.,,I went to Starbucks to grab a coffee.,Something happened to me recently. I texted my best friend to tell her about the story and it made me feel a little bit better by just having someone to listen.,I ate lunch and worked on my assignments this week.,I reflected on the things that have troubled my mind in the past few days.,I’m studying for finals :(.,,"The class time devoted to health and wellness and self-care provided me the time to spend with myself without setting aside other extra time from my schedule. From one of my mentor team discussions, I got to research a little bit of information about self-compassion and learned a lot from the readings. Similar to being compassionate to the people we love, self-compassion is about being compassionate to ourselves.","What influenced my decision was solely my intuition. I did whatever I felt like or needed at that specific moment. If I needed to talk about something that had been weighing my heart, I would text/call my best friend; if I felt like napping, I would take a nap; if I felt like getting out of my room, I would go for a walk.","It helped me realize that it is important to leave extra room in your life for self-care regardless of how busy your schedule is. Without good mental health, it is impossible to achieve your goals and succeed."
42,,I went to the gym and did 40 minutes of cardio activities with one of my good friends.,Decided to make chicken parmigiana with fresh pasta. FYI if you do decide to do this it take a long time. ,"I decided to listen to some new music. Personally I liked on the The Weeknd's new song called Gasoline. Would put that song into the synth pop genre. Reminded me a lot of When in Rome's- The Promise. In addition, I also enjoyed the Mon Amour-Remix, however, my Spanish is not up to par to translate it or sing it.  ",This was my birthday weekend so I went out to eat with my family in the area and my best friend came up from Olympia and stayed the night. Was a pretty solid weekend and one with more interaction then I am used to given COVID.,I decided to go out and take pictures as today is a beautiful day. Not sure if I got any photos that I particular like but it was nice to go out and do something stress free. ,,"I took a walk to the store this morning to buy some groceries, Sudafed, and Zyrtec as the seasonal allergies are absolutely making me suffer. Hoping I can get better as of course luck would have it that I start getting sick right before school. ","I took time to cook a good breakfast this morning consisting of pancakes, eggs, and bacon. However, that may carbohydrates certainly made me tired for class.",I actually used this time to edit some photos that I took last month and haven't got around to doing. Was therapeutic to take a break from studying. ,I went down to the gym to help relieve some stress from studying. ,Decided to get up earlier today to make breakfast. Hopefully I start to feel better today as I have recently felt quite terrible. ,,"In general, the class time devoted to health and wellness has allowed me to step away from school and do something I enjoy then come back refreshed. I think this something that is key and something that I had not done before scholastically because it is often easy to feel burned out if all your doing with every waking hour is studying, reading textbooks, or rewatching lectures. I feel like this time has allowed to be more efficient with the time I have because I can always look forward to that short break that allows me to do what I want and step away from school.  ","I think what helped me decide what decision I made was based on what I had neglected to do when I stepped away from studying last. For example, if I went and hung out with a friend but missed my opportunity to go take pictures of nature then I felt I needed to go do that.  ",I think the time I spend on self-care positively affected me because it gave me an excuse to do the things I love that I normally do not. I think it allowed me to focus better and not mind sitting down and studying because I felt refreshed. 
43,,I did physical exercise for 25 minutes at home.,I spent 30 minutes playing piano.,I went to Micheals to buy painting supplies. ,Watched YouTube while drawing for around 40 minutes. ,I spent a few hours cooking 3 dishes. ,,I yook a walk around campus for 30 minutes.,I finished a small doodle.,I played ukulele and sang.,Did some gardening in the backyard for around 20 minutes.,Knitted while watching youtube video.,,It has allowed me time to rest and relax without feeling guilty about it. ,"I like to do activities that make me feel relaxed so I will chose activities that make me feel that way such as taking a walk or drawing. My decision is also influenced by what I am feeling that day. If the weather is nice, I have a sudden urge to go outside for a walk and look at the greenery.",It has allowed me more time to relax so I feel less stressed.
44,,I meal planned! Excited to eat some yummy meals soon :-) ,I went to do homework on my rooftop. Enjoyed the sun even if it was a tad chilly ,guided meditation for 20 minutes! felt recentered and rejuvinated ,I spent 20 minutes looking for ONE PIECE of the hardest puzzle I've ever done. yes this puzzle could be considered as not self-care as it is infuriating but that one piece was a huge accomplishment. ,walked around Green Lake and returned my packages that have been sitting at my door forever,,"Filled my humidifier, replanted my new plant babies!",Folded my MOUNTAIN of laundry. Still laundry on the floor left. Will try to use one of my breaks to do some more folding :--( ,Recovering from COVID and fell into a nap in which I dissociated from reality ,Went to go pickup a new antidepressant prescription :'-) almost got in so many car accidents and running over pedestrians hopefully it works well ,"I made a motivation board to get me through finals including quotes / questions to remind me to keep going.
Example: 
Is your ambition really so weak?
What is going to matter in 5 years: how you feel in this moment or what you make of your time right now?",,"The class time for mentor team discussions has reminded me the importance of play. In my group, we’ve incorporated various games like Categories and Hotseat. I am currently in a rut emotionally and mentally and starting to embark on a journey to revitalize my motivations and joy. One aspect I want to incorporate into this is enjoyment in play. I had a class in undergrad called the Sociology of Happiness. In one of the modules, it stressed how “play” can lead to happier lives. While there are various avenues such as imaginative play or body play, I hope to actively incorporate this into my schedule and to revitalize my creativity.","This quarter was quite stressful for me, albeit a different sort of stress than last quarter. While last quarter was truly debilitating, this quarter’s stress was more of a low burn. I chose my self-care based on what I truly felt my body and mental health needed in that moment, whether it was a small task I had been putting off but would make me feel exponentially better or allowing my body the mercy to do nothing and recover.",This time dedicated to self-care helped me think about self-care in a different perspective. I hope to incorporate self-care as a scheduled necessity rather than a last ditch effort to preserve some sanity. I hope to view self-care as fuel to take care of myself so that I am fully invigorated to accomplish my goals rather than a pitstop when I’m only running low.
